date,value
1975-01-01,-3.2117991512714834
1975-02-01,-4.614559451771367
1975-03-01,-2.814872496881536
1975-04-01,6.455413678973545
1975-05-01,4.989436988408302
1975-06-01,6.552075524858712
1975-07-01,8.184367654985916
1975-08-01,6.206074434142362
1975-09-01,6.043776367881636
1975-10-01,3.940880067563366
1975-11-01,4.088445953519035
1975-12-01,9.87632585901407
1976-01-01,11.89538052573682
1976-02-01,8.384244709772712
1976-03-01,3.777287196781995
1976-04-01,1.7142288412469775
1976-05-01,1.6958702036161313
1976-06-01,1.8456460047221
1976-07-01,2.5747516829223853
1976-08-01,2.1424041565981904
1976-09-01,2.273644649865646
1976-10-01,0.8870777236595111
1976-11-01,5.226347138773299
1976-12-01,6.126594420892627
1977-01-01,0.3870264710629438
1977-02-01,7.9098896044736
